pt,purity,purity_err,efficiency,efficiency_err,n_edges,n_edges_err,n_nodes,n_nodes_err
2,0.174429,0,0.996964,0,5647,0,1284,0
1.9,0.151403,0,0.997396,0,7589,0,1500,0
1.8,0.137075,0,0.997692,0,9462,0,1690,0
1.7,0.121116,0,0.998046,0,12649,0,2000,0
1.6,0.106783,0,0.99833,0,16791,0,2342,0
1.5,0.0976966,0,0.998567,0,21403,0,2724,0
1.4,0.0797397,0,0.998765,0,30424,0,3158,0
1.3,0.0659946,0,0.996906,0,43943,0,3772,0
1.2,0.0550885,0,0.997325,0,60902,0,4357,0
1.1,0.0445262,0,0.996986,0,89161,0,5150,0
1,0.0358305,0,0.997605,0,127852,0,5955,0
0.9,0.0281691,0,0.998243,0,201675,0,7363,0
0.8,0.0194723,0,0.997991,0,357072,0,9013,0
0.7,0.0131802,0,0.998625,0,661065,0,11297,0
0.6,0.0106504,0,0.998384,0,1044472,0,14393,0
